experiment	label	pool	expr_raw	expr_barcodes	norm_raw	norm_barcodes	mapp_raw	mapp_barcodes	final_tsv
experiment1	WT_treated_15_1	WT_treated_15	8650024	8520422	14928932	14802473	9179274	7182871	307918
experiment1	WT_treated_15_2	WT_treated_15	8602743	8505999	13811967	13676749	9179274	7182871	299835
experiment1	WT_treated_16_1	WT_treated_16	7180681	7106603	15093214	14992141	11117014	8541476	279150
experiment1	WT_treated_16_2	WT_treated_16	7657107	7573882	13684329	13587350	11117014	8541476	248907
experiment1	WT_untreated_15_1	WT_untreated_15	9803529	9684431	15052265	14952826	8434320	6474821	291375
experiment1	WT_untreated_15_2	WT_untreated_15	10327865	10184733	13067215	12936764	8434320	6474821	256948
experiment1	WT_untreated_16_1	WT_untreated_16	8607009	8489279	13861696	13698869	10480096	7920829	258518
experiment1	WT_untreated_16_2	WT_untreated_16	7626489	7532307	13914683	13795761	10480096	7920829	254616
experiment2	KO_treated_1_1	KO_treated_1	8229068	8147324	8394734	8324870	5577091	4811844	76122
experiment2	KO_treated_1_2	KO_treated_1	7230241	7168859	8760706	8684284	5577091	4811844	81232
experiment2	KO_treated_2_1	KO_treated_2	5849541	5787114	5966063	5911265	4873277	4162697	55608
experiment2	KO_treated_2_2	KO_treated_2	7064873	6968464	5594619	5544288	4873277	4162697	52423
experiment2	KO_untreated_1_1	KO_untreated_1	8857114	8751133	9125722	9050088	5381939	4664191	85578
experiment2	KO_untreated_1_2	KO_untreated_1	8055185	7984039	8730940	8658083	5381939	4664191	83724
experiment2	KO_untreated_2_1	KO_untreated_2	7318378	7224920	8274833	8189281	5248881	4495102	81105
experiment2	KO_untreated_2_2	KO_untreated_2	7129271	7046648	8123572	8052480	5248881	4495102	77216
